date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:17	77383/77383	---M-Z	200	added ('OK')	text/html	etag:%221dc8d38-12e47-5f69b4e120f39-gzip%22	https://themes.pixelstrap.com/fastkart/back-end/index.html	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/index.html	(from )
10:41:17	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
10:41:17	416/416	---M--	200	added ('OK')	image/png	etag:%221dc88aa-1a0-5e800e2f67540%22	https://themes.pixelstrap.com/fastkart/back-end/assets/images/favicon.png	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/images/favicon.png	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:17	9149/9149	---M--	200	added ('OK')	text/css	etag:%221dc9afd-23bd-5e800e2f67540%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/linearicon.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/linearicon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:18	79039/79039	---M--	200	added ('OK')	text/css	etag:%221dc9b18-134bf-5e800e2f67540%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/font-awesome.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:18	17591/17591	---M--	200	added ('OK')	text/css	etag:%221dc9b21-44b7-5f1d09347c880%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/themify.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/themify.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:18	1023/1023	---M--	200	added ('OK')	text/css	etag:%221dc9af7-3ff-5f1d0930abf80%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/ratio.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/ratio.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:18	110492/110492	---M--	200	added ('OK')	text/css	etag:%221dc9b00-1af9c-5e800e2f67540%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/remixicon.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/remixicon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:19	2307/2307	---M--	200	added ('OK')	text/css	etag:%221dc9b17-903-5f1d093388640%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/feather-icon.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
10:41:19	3589/3589	---M--	200	added ('OK')	text/css	etag:%221dc9b1e-e05-5f1d093388640%22	https://themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/scrollbar.css	C:/My%20Web%20Sites/coffee-be/themes.pixelstrap.com/fastkart/back-end/assets/css/vendors/scrollbar.css	(from https://themes.pixelstrap.com/fastkart/back-end/index.html)
